scrap_date,asin,price,shipment_price,rating,ratings_count
19/11/29,B0742RMVQ8,nan,nan,3.8,125
19/11/29,B00L2EWRW2,nan,nan,3.7,46
19/11/29,B00PASUGTC,$349.00,nan,4.4,28
19/11/29,B008JJLZ7G,$59.49,$23.24,4.4,4,757
19/11/29,B073JHHNJ9,$54.95,$22.16,3.9,2,170
19/11/29,B00KGGK1J8,nan,nan,3.8,172
19/11/29,B00IAKLM54,$225.00,$67.34,3.6,820
19/11/29,B005MJHFHK,$28.98,$147.85,nan,nan
19/11/29,B00VXW0J5A,nan,nan,nan,nan
19/11/29,B00OY50CZU,$29.81,nan,nan,nan
